,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region
142,2019-09-25,OXY,"$1,001 - $15,000",2020-08-21,8000.5,-0.7096845507207447,331.0,sen,Republican,"Jerry Moran,",MW
143,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW
144,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW
145,2020-04-21,CRWD,"$15,001 - $50,000",2020-04-24,75000.5,0.08975329699661441,3.0,sen,Democrat,Ron L Wyden,W
146,2020-05-08,UBER,"$15,001 - $50,000",2020-05-11,32500.5,-0.03507171374717272,3.0,sen,Democrat,Ron L Wyden,W
147,2020-04-06,RDS-B,"$1,001 - $15,000",2020-06-04,8000.5,-0.051526188735971035,59.0,sen,Democrat,Ron L Wyden,W
148,2020-06-05,TRIP,"$50,001 - $100,000",2020-07-07,75000.5,-0.2742251798306523,32.0,sen,Democrat,Ron L Wyden,W
149,2020-06-05,CAT,"$15,001 - $50,000",2020-07-13,75000.5,-0.03367368233711536,38.0,sen,Democrat,Ron L Wyden,W
150,2020-06-17,INTC,"$15,001 - $50,000",2020-08-03,32500.5,-0.20152094731625114,47.0,sen,Democrat,Ron L Wyden,W
151,2020-05-27,VAC,"$15,001 - $50,000",2020-08-03,32500.5,-0.160770404105782,68.0,sen,Democrat,Ron L Wyden,W
152,2020-06-05,MAR,"$50,001 - $100,000",2020-08-03,175000.5,-0.2263801653266347,59.0,sen,Democrat,Ron L Wyden,W
153,2020-04-06,XOM,"$15,001 - $50,000",2020-08-21,32500.5,0.013343145157945616,137.0,sen,Democrat,Ron L Wyden,W
154,2020-04-17,T,"$15,001 - $50,000",2020-08-21,75000.5,-0.0493115283622074,126.0,sen,Democrat,Ron L Wyden,W
155,2020-08-19,KR,"$15,001 - $50,000",2020-08-24,75000.5,-0.00441744456156049,5.0,sen,Democrat,Ron L Wyden,W
156,2020-08-05,CLX,"$1,001 - $15,000",2020-08-24,8000.5,-0.059158368032773065,19.0,sen,Democrat,Ron L Wyden,W
157,2020-08-24,AMWD,"$1,001 - $15,000",2020-08-27,8000.5,-0.08387634831546271,3.0,sen,Democrat,Ron L Wyden,W
158,2020-08-24,W,"$50,001 - $100,000",2020-09-02,75000.5,-0.1118047590086446,9.0,sen,Democrat,Ron L Wyden,W
159,2020-08-20,NFLX,"$1,001 - $15,000",2020-09-14,8000.5,-0.04346251133989454,25.0,sen,Democrat,Ron L Wyden,W
160,2020-08-05,BYND,"$15,001 - $50,000",2020-11-10,75000.5,-0.057879268700497186,97.0,sen,Democrat,Ron L Wyden,W
161,2021-02-26,AMAT,"$1,001 - $15,000",2021-04-16,75000.5,0.13148314548717352,49.0,sen,Democrat,Ron L Wyden,W
162,2021-02-26,KLAC,"$1,001 - $15,000",2021-04-06,8000.5,0.1136458370614563,39.0,sen,Democrat,Ron L Wyden,W
163,2020-06-04,STZ,"$50,001 - $100,000",2021-04-06,175000.5,0.3446765424050294,306.0,sen,Democrat,Ron L Wyden,W
164,2021-02-26,KLAC,"$1,001 - $15,000",2021-04-06,8000.5,0.1136458370614563,39.0,sen,Democrat,Ron L Wyden,W
165,2020-06-23,AVGO,"$15,001 - $50,000",2021-04-06,175000.5,0.5543527596891109,287.0,sen,Democrat,Ron L Wyden,W
166,2021-02-26,AMAT,"$1,001 - $15,000",2021-04-16,75000.5,0.13148314548717352,49.0,sen,Democrat,Ron L Wyden,W
167,2015-01-30,XLU,"$1,001 - $15,000",2015-02-27,8000.5,-0.06394867905843292,28.0,sen,Republican,Patrick J Toomey,NE
168,2014-12-31,CVX,"$15,001 - $50,000",2015-03-19,32500.5,-0.06623284261867643,78.0,sen,Republican,Patrick J Toomey,NE
169,2015-02-27,EEM,"$1,001 - $15,000",2015-12-30,8000.5,-0.20741287223377108,306.0,sen,Republican,Patrick J Toomey,NE
170,2015-01-05,SHY,"$15,001 - $50,000",2016-05-02,32500.5,0.004613193582031378,483.0,sen,Republican,Patrick J Toomey,NE
171,2015-04-27,PG,"$15,001 - $50,000",2018-08-02,32500.5,0.017369746307481834,1193.0,sen,Republican,Patrick J Toomey,NE
172,2015-04-27,PG,"$15,001 - $50,000",2018-08-02,32500.5,0.017369746307481834,1193.0,sen,Republican,Patrick J Toomey,NE
173,2015-08-07,CVX,"$1,001 - $15,000",2016-08-03,32500.5,0.20131344012360075,362.0,sen,Republican,Patrick J Toomey,NE
174,2015-06-04,VZ,"$1,001 - $15,000",2017-01-27,32500.5,0.03118503217431565,603.0,sen,Republican,Patrick J Toomey,NE
175,2015-06-04,VZ,"$1,001 - $15,000",2017-01-27,32500.5,0.03118503217431565,603.0,sen,Republican,Patrick J Toomey,NE
176,2017-02-13,GE,"$1,001 - $15,000",2017-05-18,8000.5,-0.0852197032763846,94.0,sen,Republican,Patrick J Toomey,NE
177,2017-01-25,T,"$15,001 - $50,000",2017-08-07,32500.5,-0.0693403956077986,194.0,sen,Republican,Patrick J Toomey,NE
178,2017-01-25,BAC,"$15,001 - $50,000",2018-01-05,32500.5,0.29781766514908536,345.0,sen,Republican,Patrick J Toomey,NE
179,2018-05-02,BOX,"$1,001 - $15,000",2018-05-02,8000.5,0.0,0.0,sen,Republican,Patrick J Toomey,NE
180,2015-04-27,PG,"$15,001 - $50,000",2018-08-02,32500.5,0.017369746307481834,1193.0,sen,Republican,Patrick J Toomey,NE
181,2017-12-07,GE,"$1,001 - $15,000",2018-09-06,8000.5,-0.2936194699384634,273.0,sen,Republican,Patrick J Toomey,NE
182,2020-07-07,TSLA,"$1,001 - $15,000",2020-07-07,8000.5,0.0,0.0,sen,Republican,Patrick J Toomey,NE
183,2020-07-09,NKLA,"$1,001 - $15,000",2020-07-20,8000.5,-0.32215638133953683,11.0,sen,Republican,Patrick J Toomey,NE
184,2020-08-28,TSLA,"$1,001 - $15,000",2021-01-27,8000.5,0.9521098478409028,152.0,sen,Republican,Patrick J Toomey,NE
185,2021-01-27,GME,"$1,001 - $15,000",2021-01-28,8000.5,-0.442893727768914,1.0,sen,Republican,Patrick J Toomey,NE
187,2015-07-20,CLR,"$15,001 - $50,000",2015-08-24,32500.5,-0.2366498468331581,35.0,sen,Republican,James M Inhofe,SW
188,2015-04-21,EMR,"$50,001 - $100,000",2015-08-24,75000.5,-0.203710071482,125.0,sen,Republican,James M Inhofe,SW
191,2016-01-08,CLR,"$50,001 - $100,000",2019-04-16,32500.5,1.2488500415993269,1194.0,sen,Republican,James M Inhofe,SW
192,2015-04-29,PG,"$15,001 - $50,000",2020-01-13,175000.5,0.5639323686886585,1720.0,sen,Republican,James M Inhofe,SW
193,2016-03-24,NFX,"$50,001 - $100,000",2017-06-26,32500.5,-0.14576902609651046,459.0,sen,Republican,James M Inhofe,SW
194,2016-01-08,CLR,"$50,001 - $100,000",2019-04-16,32500.5,1.2488500415993269,1194.0,sen,Republican,James M Inhofe,SW
195,2015-07-09,BIIB,"$15,001 - $50,000",2016-07-21,75000.5,-0.2926193840003027,378.0,sen,Republican,James M Inhofe,SW
196,2016-05-23,PRGO,"$50,001 - $100,000",2016-08-12,75000.5,-0.059251346690132024,81.0,sen,Republican,James M Inhofe,SW
197,2015-08-24,A,"$15,001 - $50,000",2016-09-13,75000.5,0.29469438093337763,386.0,sen,Republican,James M Inhofe,SW
198,2016-03-11,CTSH,"$50,001 - $100,000",2016-11-15,32500.5,-0.049148727255780365,249.0,sen,Republican,James M Inhofe,SW
199,2015-08-12,ARW,"$50,001 - $100,000",2017-01-11,75000.5,0.2824533761433789,518.0,sen,Republican,James M Inhofe,SW
