,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
4382,2018-01-08,Self,PFS,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,8,1001,15000
4383,2018-01-08,Self,REVB,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,8,1001,15000
4384,2018-01-05,Self,PFS,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,5,1001,15000
4385,2017-12-07,Self,REVB,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2017,12,7,1001,15000
4386,2017-12-07,Self,GE,Purchase,"$1,001 - $15,000",--,Patrick J Toomey,2017,12,7,1001,15000
4387,2017-12-18,Joint,NWL,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,2017,12,18,1001,15000
4388,2017-12-05,Self,NWL,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,2017,12,5,1001,15000
4389,2017-12-05,Self,DISH,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,2017,12,5,1001,15000
4390,2017-12-05,Self,JCI,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,2017,12,5,15001,50000
4391,2017-12-18,Self,REGN,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,2017,12,18,15001,50000
4392,2017-12-29,Self,AMZN,Purchase,"$50,001 - $100,000",--,John Hoeven,2017,12,29,50001,100000
4393,2017-12-29,Self,AVGO,Purchase,"$100,001 - $250,000",--,John Hoeven,2017,12,29,100001,250000
4398,2017-12-21,Joint,BBL,Purchase,"$1,001 - $15,000",--,Tammy Duckworth,2017,12,21,1001,15000
4400,2018-01-03,Joint,FOXA,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,3,1001,15000
4401,2018-01-03,Joint,CZR,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,3,1001,15000
4402,2018-01-03,Joint,RF,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,3,1001,15000
4403,2018-01-02,Joint,FOXA,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,2,1001,15000
4404,2018-01-02,Joint,SYY,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,2,1001,15000
4405,2018-01-02,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,2,1001,15000
4406,2017-12-29,Joint,SYY,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2017,12,29,1001,15000
4407,2017-12-28,Joint,SYY,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2017,12,28,1001,15000
4408,2017-12-26,Joint,PYPL,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2017,12,26,1001,15000
4409,2017-12-26,Joint,DUK,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2017,12,26,1001,15000
4410,2017-12-26,Joint,MDLZ,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",2017,12,26,15001,50000
4411,2017-12-26,Joint,IP,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2017,12,26,1001,15000
4412,2017-12-26,Joint,DWDP,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",2017,12,26,15001,50000
4413,2017-12-26,Joint,KHC,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",2017,12,26,15001,50000
